Business,L2 Category,L3 Category,Bet Category,Upgrade L1 Theme,Upgrade L2 Theme,Brand Name,SKU Name,Item Code,Exclusivity Type,"Validated for ""Upgrade"" Proposition",Include in Overall Tracking,Upgrade
New Comm,Cookware,Pans,Cookware,Healthier Cooking,Cast Iron,Sumeet,"Sumeet Pre Seasoned Heavy Weight Cast Iron Frying Pan / Skillet (21cm, 1.480kg, Induction Friendly, Black)",920582,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Kadhai,Cookware,Healthier Cooking,Ceramic,EMBER,"Ember Ceramic Coated Kadai with Soft-Touch Handle (2.6L, Non Toxic Non Stick, Glass Lid, ISI Certified, Terracotta)",692269,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pans,Cookware,Healthier Cooking,Ceramic,EMBER,"Ember Ceramic Coated Mini Frypan with Stainless Steel Handle & Glass Lid (20cm, Non Toxic Non Stick Pan, ISI Certified, PFAS PTFE Free, Terracotta)",635686,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Pans,Cookware,Healthier Cooking,Ceramic,EMBER,"Ember Ceramic Coated Mini Frypan with Stainless Steel Handle (20cm, Non Toxic Non Stick Pan, ISI Certified, PFAS PTFE Free, Blue)",343889,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Cookware,Tawa,Cookware,Healthier Cooking,Ceramic,EMBER,"Ember Ceramic Coated Tawa with Soft-Touch Handle (28cm, Non Toxic Non Stick, ISI Certified, PFAS PTFE Free, Nilgiri Blue)",450882,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Flasks Jugs Tiffins Matkas,Kids Tiffin Boxes,Storage,International/Premium Storage Brands,,VAYA,"VAYA TYDBYT Lunchbox, Stainless Steel Bento Lunch Box with Leakproof Compartments (Purple)",839325,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Flasks Jugs Tiffins Matkas,Kids Tiffin Boxes,Storage,International/Premium Storage Brands,,VAYA,"VAYA TYDBYT Bento Lunchbox, Stainless Steel Tiffin Box, Kids, Adults, 3 Containers, Blue",201469,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Flasks Jugs Tiffins Matkas,Kids Tiffin Boxes,Storage,International/Premium Storage Brands,,VAYA,"VAYA TYFFYN Insulated Lunch Box, Stainless Steel, Kids, Women, 2 Containers, 600 ml, Black",724336,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Flasks Jugs Tiffins Matkas,Kids Tiffin Boxes,Storage,International/Premium Storage Brands,,VAYA,"VAYA TYDBYT Lunchbox, Stainless Steel Bento Lunch Box with Leakproof Compartments (Green)",617166,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Coffee Mugs,Steel Coffee Mugs,Storage,International/Premium Storage Brands,,VAYA,"VAYA Popcup Insulated Coffee Mug with Lid (250ml, Stainless Steel, Hot & Cold Coffee, Purple)",751178,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Flasks Jugs Tiffins Matkas,Kids Tiffin Boxes,Storage,International/Premium Storage Brands,,VAYA,"VAYA TYFFYN Insulated Lunch Box, Stainless Steel, Men, Women, 3 Containers, 1000 ml, Black",241307,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Flasks Jugs Tiffins Matkas,Kids Tiffin Boxes,Storage,International/Premium Storage Brands,,VAYA,"VAYA TYFFYN Insulated Tiffin Box, Stainless Steel, Kids, Women, 2 Containers, 600 ml, Blue",738830,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Flasks Jugs Tiffins Matkas,Kids Tiffin Boxes,Storage,International/Premium Storage Brands,,VAYA,"VAYA TYFFYN Stainless Steel Insulated Lunch Box, Office, 3 Containers, 1000 ml, Blue",900030,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Flasks Jugs Tiffins Matkas,Kids Tiffin Boxes,Storage,International/Premium Storage Brands,,VAYA,"VAYA TYFFYN Insulated Lunchbox, Stainless Steel, Kids, Women, 2 Containers, 600 ml, Purple",292300,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Coffee Mugs,Travel Coffee Mugs,Storage,International/Premium Storage Brands,,VAYA,"VAYA Popcup Insulated Coffee Mug with Lid (250ml, Cool Grey)",367038,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Jars Containers Ziplocks,Airtight Jars,Storage,International/Premium Storage Brands,,Lock & Lock,"LocknLock Classic Cereal Containers (Pack of 4, for Kitchen)",196369,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Jars Containers Ziplocks,Airtight Jars,Storage,International/Premium Storage Brands,,Lock & Lock,"LocknLock Sorta Premium Food Containers with Lids (110ml, Pack of 3, Tritan, Airtight)",471776,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Jars Containers Ziplocks,Airtight Jars,Storage,International/Premium Storage Brands,,Lock & Lock,"LocknLock Sorta Premium Food Containers (Pack of 3, Tritan, for Dryfruits)",436646,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Jars Containers Ziplocks,Airtight Jars,Storage,International/Premium Storage Brands,,Lock & Lock,"LocknLock Classics Food Storage Containers with Lid (1.5L, Pack of 3, Tall Rectangular, Plastic, Leakproof, Airtight, Transparent, HPL812H)",252735,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Jars Containers Ziplocks,Storage Containers for Fridge,Storage,International/Premium Storage Brands,,Lock & Lock,"LocknLock Food Storage Containers with Lid (Pack of 3, Glass, Airtight, 300ml + 380ml + 500ml)",205213,Level 3: Complete SKU Exclusivity,Yes,Yes,True
